timestamp,action,decision,symbol,option_symbol,market_state,bullish_score,bearish_score,confidence,current_signal,bot_enabled,reason_log,entry_grade,live_grade,exit_grade,pnl,pnl_percent,current_price,entry_price,current_value,cost_basis,bot_budget,spent_today,trades_today,skip_reason,exit_reason,order_status,order_id,human_or_bot,max_unrealized_profit,max_drawdown,hold_time,spy_price_at_entry,spy_price_at_exit,market_state_at_entry,market_state_at_exit,ema_state,vwap_state,green_tick_percent,red_tick_percent
2026-06-30 14:52:50,DO NOTHING,BUY CALL,SPY,,BULLISH,4,0,4,CALL,True,EMA aligned bullish | Price above VWAP | Green ticks 100% | Broke previous day high | Broke previous week high | Stagnant market penalty,,,,,,746.74,,,,300.0,282.0,4,no open position,,,,BOT,,,,,,,,BULLISH,BULLISH,100.0,0.0
2026-06-30 14:52:50,SKIP,BUY CALL,SPY,SPY260630C00747000,BULLISH,4,0,4,CALL,True,EMA aligned bullish | Price above VWAP | Green ticks 100% | Broke previous day high | Broke previous week high | Stagnant market penalty,,,,,,746.74,,,,300.0,282.0,4,budget exceeded,,,,BOT,,,,,,,,BULLISH,BULLISH,100.0,0.0
2026-06-30 14:53:03,DO NOTHING,BUY CALL,SPY,,BULLISH,4,0,4,CALL,True,EMA aligned bullish | Price above VWAP | Green ticks 100% | Broke previous day high | Broke previous week high | Stagnant market penalty,,,,,,746.76,,,,300.0,282.0,4,no open position,,,,BOT,,,,,,,,BULLISH,BULLISH,100.0,0.0
2026-06-30 14:53:03,SKIP,BUY CALL,SPY,SPY260630C00747000,BULLISH,4,0,4,CALL,True,EMA aligned bullish | Price above VWAP | Green ticks 100% | Broke previous day high | Broke previous week high | Stagnant market penalty,,,,,,746.76,,,,300.0,282.0,4,budget exceeded,,,,BOT,,,,,,,,BULLISH,BULLISH,100.0,0.0
2026-06-30 14:53:16,DO NOTHING,BUY CALL,SPY,,BULLISH,4,0,4,CALL,True,EMA aligned bullish | Price above VWAP | Green ticks 67% | Broke previous day high | Broke previous week high | Stagnant market penalty,,,,,,746.74,,,,300.0,282.0,4,no open position,,,,BOT,,,,,,,,BULLISH,BULLISH,66.66666666666666,33.33333333333333
2026-06-30 14:53:16,SKIP,BUY CALL,SPY,SPY260630C00747000,BULLISH,4,0,4,CALL,True,EMA aligned bullish | Price above VWAP | Green ticks 67% | Broke previous day high | Broke previous week high | Stagnant market penalty,,,,,,746.74,,,,300.0,282.0,4,budget exceeded,,,,BOT,,,,,,,,BULLISH,BULLISH,66.66666666666666,33.33333333333333
2026-06-30 14:53:28,DO NOTHING,DO NOTHING,SPY,,CHOPPY,1,0,1,NONE,True,Market choppy | Price below VWAP | Broke previous day high | Broke previous week high | Stagnant market penalty | Confidence 1 is too low,,,,,,746.72,,,,300.0,282.0,4,no open position,,,,BOT,,,,,,,,NEUTRAL,BEARISH,50.0,50.0
2026-06-30 14:53:29,DO NOTHING,DO NOTHING,SPY,,CHOPPY,1,0,1,NONE,True,Market choppy | Price below VWAP | Broke previous day high | Broke previous week high | Stagnant market penalty | Confidence 1 is too low,,,,,,746.72,,,,300.0,282.0,4,DO NOTHING,,,,BOT,,,,,,,,NEUTRAL,BEARISH,50.0,50.0
2026-06-30 14:53:42,DO NOTHING,BUY CALL,SPY,,BULLISH,3,0,3,CALL,True,EMA aligned bullish | Price below VWAP | Green ticks 60% | Broke previous day high | Broke previous week high | Stagnant market penalty,,,,,,746.73,,,,300.0,282.0,4,no open position,,,,BOT,,,,,,,,BULLISH,BEARISH,60.0,40.0
2026-06-30 14:53:43,SKIP,BUY CALL,SPY,SPY260630C00747000,BULLISH,3,0,3,CALL,True,EMA aligned bullish | Price below VWAP | Green ticks 60% | Broke previous day high | Broke previous week high | Stagnant market penalty,,,,,,746.73,,,,300.0,282.0,4,budget exceeded,,,,BOT,,,,,,,,BULLISH,BEARISH,60.0,40.0
